seqid	organism	genetic_code	moltype	topology	strand
>NT_187390.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187391.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187392.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187393.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187394.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000023.11	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NC_000024.10	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187395.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187396.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187397.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187398.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187399.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187400.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187401.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187402.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187403.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187404.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187405.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187406.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187407.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187408.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187409.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187410.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187411.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187412.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187413.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187414.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187415.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187416.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187417.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187418.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187419.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187420.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187421.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187422.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187423.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187424.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187425.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187426.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187427.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187428.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187429.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187430.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187431.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187432.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187433.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187434.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187435.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187436.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187437.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187438.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187439.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187440.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187441.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187442.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187443.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187444.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187445.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187446.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187447.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187448.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187449.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187450.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187451.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187452.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187453.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187454.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187455.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187456.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187457.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187458.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187459.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187460.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187461.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187462.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187463.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187464.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187465.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187466.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187467.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187468.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187469.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187470.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187471.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187472.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187473.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187474.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187475.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187476.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187477.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187478.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187479.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187480.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187481.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187482.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187483.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187484.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187485.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187486.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187487.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187488.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187489.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187490.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187491.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187492.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187493.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187494.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187495.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187496.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_113901.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_167213.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_167214.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_167218.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187497.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_167220.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_167208.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187498.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187499.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187500.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187501.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187502.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187503.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187504.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187505.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187506.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187508.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187509.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187510.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187511.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187512.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_167209.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187513.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_167211.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_113889.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_012132914.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_015495298.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791756.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_011332688.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_014040926.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_009646195.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654706.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_019805487.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_009646194.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654707.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_014040925.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_017852928.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_009646196.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791753.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791758.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791759.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791754.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_011332687.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654708.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_014040927.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791757.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791755.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021159988.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791767.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791768.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791766.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791763.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_012132915.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791760.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791765.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654709.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791762.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791761.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791764.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_015495299.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654710.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_011332690.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021159987.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_011332689.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_017363813.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791770.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791771.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_009646197.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_012132916.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_011332691.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021159989.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654711.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_012132917.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_009646198.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_019805491.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_019805492.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_019805490.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_019805489.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_019805488.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791769.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021159990.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021159993.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_013171799.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791774.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021159992.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021159994.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021159991.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021159995.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_013171800.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_013171801.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791772.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_017363814.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791773.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_015495301.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_015495300.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791777.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654712.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791776.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_009646199.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_016107297.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791779.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021159996.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791778.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_016107298.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791775.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654713.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_013171803.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791780.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_012132918.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_009646200.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_013171802.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_017363815.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021159997.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021159998.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_019805493.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791781.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_017852929.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_017852930.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654714.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654715.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_012132919.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791785.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654717.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_017852932.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791782.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_017852931.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791784.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_019805494.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791786.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654716.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791783.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_013171804.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_013171805.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791789.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791787.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791788.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_009646201.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021159999.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160000.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_011332694.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160001.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_013171806.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_009646202.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_013171807.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791790.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_011332693.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_011332692.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_015148966.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791792.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
